date,first,psalm,epistle,gospel
# Revised Common Lectionary — Year A
# Sundays + major feast days for the 2025-2026 liturgical year (begins Advent 2025-11-30).
# Refs use canonical book names + chapter:verse spans. To use:
# 1. Copy this file into your vault (e.g. Lectionaries/rcl-a.csv).
# 2. Settings → Scriptorium → Pedagogy → Lectionary CSV path = Lectionaries/rcl-a.csv.
# 3. Use "Scriptorium: Insert today's lectionary readings" on a Sunday.
# This is a starter file; verify your tradition's exact selections before liturgical use.
2025-11-30,Isaiah 2:1-5,Psalm 122,Romans 13:11-14,Matthew 24:36-44
2025-12-07,Isaiah 11:1-10,Psalm 72:1-7;18-19,Romans 15:4-13,Matthew 3:1-12
2025-12-14,Isaiah 35:1-10,Psalm 146:5-10,James 5:7-10,Matthew 11:2-11
2025-12-21,Isaiah 7:10-16,Psalm 80:1-7;17-19,Romans 1:1-7,Matthew 1:18-25
2025-12-25,Isaiah 9:2-7,Psalm 96,Titus 2:11-14,Luke 2:1-14
2025-12-28,Isaiah 63:7-9,Psalm 148,Hebrews 2:10-18,Matthew 2:13-23
2026-01-04,Jeremiah 31:7-14,Psalm 147:12-20,Ephesians 1:3-14,John 1:1-18
2026-01-06,Isaiah 60:1-6,Psalm 72:1-7;10-14,Ephesians 3:1-12,Matthew 2:1-12
2026-01-11,Isaiah 42:1-9,Psalm 29,Acts 10:34-43,Matthew 3:13-17
2026-01-18,Isaiah 49:1-7,Psalm 40:1-11,1 Corinthians 1:1-9,John 1:29-42
2026-01-25,Isaiah 9:1-4,Psalm 27:1;4-9,1 Corinthians 1:10-18,Matthew 4:12-23
2026-02-01,Micah 6:1-8,Psalm 15,1 Corinthians 1:18-31,Matthew 5:1-12
2026-02-08,Isaiah 58:1-12,Psalm 112:1-9,1 Corinthians 2:1-16,Matthew 5:13-20
2026-02-15,Exodus 24:12-18,Psalm 99,2 Peter 1:16-21,Matthew 17:1-9
2026-02-18,Joel 2:1-2;12-17,Psalm 51:1-17,2 Corinthians 5:20-6:10,Matthew 6:1-6
2026-02-22,Genesis 2:15-17;3:1-7,Psalm 32,Romans 5:12-19,Matthew 4:1-11
2026-03-01,Genesis 12:1-4,Psalm 121,Romans 4:1-5;13-17,John 3:1-17
2026-03-08,Exodus 17:1-7,Psalm 95,Romans 5:1-11,John 4:5-42
2026-03-15,1 Samuel 16:1-13,Psalm 23,Ephesians 5:8-14,John 9:1-41
2026-03-22,Ezekiel 37:1-14,Psalm 130,Romans 8:6-11,John 11:1-45
2026-03-29,Isaiah 50:4-9,Psalm 31:9-16,Philippians 2:5-11,Matthew 21:1-11
2026-04-02,Exodus 12:1-14,Psalm 116:1-2;12-19,1 Corinthians 11:23-26,John 13:1-17;31-35
2026-04-03,Isaiah 52:13-53:12,Psalm 22,Hebrews 10:16-25,John 18:1-19:42
2026-04-05,Acts 10:34-43,Psalm 118:1-2;14-24,Colossians 3:1-4,John 20:1-18
2026-04-12,Acts 2:14;22-32,Psalm 16,1 Peter 1:3-9,John 20:19-31
2026-04-19,Acts 2:14;36-41,Psalm 116:1-4;12-19,1 Peter 1:17-23,Luke 24:13-35
2026-04-26,Acts 2:42-47,Psalm 23,1 Peter 2:19-25,John 10:1-10
2026-05-03,Acts 7:55-60,Psalm 31:1-5;15-16,1 Peter 2:2-10,John 14:1-14
2026-05-10,Acts 17:22-31,Psalm 66:8-20,1 Peter 3:13-22,John 14:15-21
2026-05-14,Acts 1:1-11,Psalm 47,Ephesians 1:15-23,Luke 24:44-53
2026-05-17,Acts 1:6-14,Psalm 68:1-10;32-35,1 Peter 4:12-14;5:6-11,John 17:1-11
2026-05-24,Acts 2:1-21,Psalm 104:24-34;35,1 Corinthians 12:3-13,John 20:19-23
2026-05-31,Genesis 1:1-2:4,Psalm 8,2 Corinthians 13:11-13,Matthew 28:16-20
